mssv,dien_tt,diem_tt,lop12_matinh,lop12_matruong,TEN_TRUONG
1D5EC289XPvAibaEXe+1P/4gNbgreeJ2VIlZrW72,THPT,0.8,42.0,26.0,THPT Bảo Lộc
FE176735XPvAibaEXe+1P/4gNbgreQ94npTP4/sD,THPT,0.9,2.0,262.0,THCS THPT Tân Phú
B35C4D81XPvAibaEXe+4hxKfaQWuhMpsX+yPsJqX,THPT,0.8166666666666667,31.0,4.0,THPT Chuyên Võ Nguyên Giáp
58E06BD3XPvAibaEXe+4hxKfaQWuhIL+w/2UgtML,THPT,0.8833333333333333,52.0,8.0,THCS - THPT Song ngữ
0A2744ACXPvAibaEXe+4hxKfaQWuhJdFGWeKvxxz,THPT,0.7333333333333333,48.0,30.0,THPT Điểu Cải
51E1C3E0XPvAibaEXe+4hxKfaQWuhLp2zzmiiyRe,THPT,1.0666666666666667,42.0,46.0,THPT Lê Thị Pha - Bảo Lộc
BDEDD44DXPvAibaEXe+4hxKfaQWuhAQGSgtQEIOS,THPT,0.9333333333333333,2.0,50.0,THPT Trường Chinh
BC40EF90XPvAibaEXe+4hxKfaQWuhCn4CgCxF0TJ,THPT,0.8333333333333334,2.0,171.0,THPT TT Quốc Văn Sài gòn
A70F6ECCXPvAibaEXe+4hxKfaQWuhGFMu3PMgcNG,THPT,0.85,2.0,226.0,THPT Trần Nhân Tông
530FE4E9XPvAibaEXe+4hxKfaQWuhFsElpA2NjHn,THPT,0.8833333333333333,53.0,22.0,THPT Vĩnh Bình
3E756495XPvAibaEXe9P07hcrvmhCa0nLHGm6qSN,THPT,0.9666666666666667,35.0,50.0,Trường THPT Tây Trà (Trước 01/02/2020)
5E4374B1XPvAibaEXe9P07hcrvmhCcXTNAkNC9Wy,THPT,0.8,47.0,7.0,THPT Đức Linh
53D6B6A5XPvAibaEXe9P07hcrvmhCdWEvna10bwL,THPT,0.7833333333333333,50.0,910.0,THPT Tháp Mười
0D5828BAXPvAibaEXe9P07hcrvmhCf8ZveiQ5xwl,THPT,0.95,39.0,12.0,THPT Phan Đình Phùng
981C7989XPvAibaEXe9P07hcrvmhCcxHupzWlaJ2,THPT,0.9166666666666666,47.0,9.0,THPT Hòa Đa
F8E79C58XPvAibaEXe9P07hcrvmhCRobNyHYqD/N,THPT,0.7833333333333333,40.0,2.0,THPT Buôn Ma Thuột
538FDEFEXPvAibaEXe9P07hcrvmhCe3unM2XvNXE,THPT,0.9,52.0,14.0,THPT Phước Bửu
8B7499D5XPvAibaEXe9P07hcrvmhCcn1vUPlZj5m,THPT,0.8666666666666667,48.0,18.0,THPT Dầu Giây
9D24935AXPvAibaEXe9P07hcrvmhCaK9iQTZe/LS,THPT,0.8166666666666667,2.0,12.0,Phân hiệu THPT Lê Thị Hồng Gấm
0F6FD99FXPvAibaEXe9hPQQhQOOPydGyiKRryin1,THPT,0.8833333333333333,43.0,2.0,THPT Nguyễn Du
64E9FDE3XPvAibaEXe9hPQQhQOOPyStw/R4lOHbB,THPT,0.9666666666666667,2.0,16.0,THPT chuyên Lê Hồng Phong
31344271XPvAibaEXe9hPQQhQOOPyQ/T6/YpD1bo,THPT,0.7833333333333333,48.0,23.0,THPT Long Thành
0ECFDCE2XPvAibaEXe9hPQQhQOOPyenrlTjJyLmh,THPT,0.8666666666666667,35.0,17.0,Trung tâm GDNN-GDTX huyện Sơn Tịnh
83845261XPvAibaEXe9hPQQhQOOPyYvq0zhwjv2w,THPT,0.9833333333333333,2.0,59.0,THPT Tân Bình
02FA9B28XPvAibaEXe9hPQQhQOOPyX9iSjJX1yiu,THPT,0.7833333333333333,29.0,54.0,THPT Phan Đăng Lưu
952C9BD7XPvAibaEXe9hPQQhQOOPyVKuFZF5BlyS,THPT,0.8166666666666667,2.0,173.0,THPT Trần Hưng Đạo
76CACACBXPvAibaEXe9hPQQhQOOPyV0cvrwNuPGz,THPT,1.0,28.0,91.0,TTGDNN-GDTX Triệu Sơn
2ABBE719XPvAibaEXe9hPQQhQOOPyUJ9WJU9hlCM,THPT,1.0666666666666667,42.0,48.0,THPT Lộc Thành
F832105BXPvAibaEXe+cD1fKElqxL8dha7yinstM,THPT,0.85,25.0,62.0,THPT Lê Quý Đôn
209DFFA3XPvAibaEXe+cD1fKElqxL0w/CiUgdc4i,THPT,0.9333333333333333,2.0,47.0,THPT Trần Quang Khải
2527BAB9XPvAibaEXe+cD1fKElqxL9jGStBoq3T8,THPT,0.95,35.0,30.0,Trường THPT Nguyễn Công Trứ
3E437E83XPvAibaEXe+cD1fKElqxL3AMjMxrtDdl,THPT,0.95,37.0,18.0,THPT Hòa Bình
E997D336XPvAibaEXe+cD1fKElqxL3Gg+IEXlrlL,THPT,0.8,47.0,8.0,THPT Tánh Linh
6EB4408FXPvAibaEXe+cD1fKElqxL06nWB8JXnUx,THPT,0.7666666666666667,42.0,21.0,THPT Di Linh
4D645550XPvAibaEXe+cD1fKElqxL9313y/YAPXl,THPT,0.9333333333333333,42.0,24.0,THPT Bảo Lâm
47140B5BXPvAibaEXe+cD1fKElqxL341hodw+e7I,THPT,0.8666666666666667,30.0,14.0,THPT Nguyễn Trung Thiên
8719AFF0XPvAibaEXe+cD1fKElqxLxHCg1eAHaJE,THPT,0.95,34.0,13.0,THPT Sào Nam
85AB9A11XPvAibaEXe+cD1fKElqxL3rmZzDf2Nuw,THPT,0.8833333333333333,25.0,28.0,THPT Giao Thuỷ B
A0CBAC25XPvAibaEXe/PGAaNNWvbUIg+w572qFZR,THPT,0.8166666666666667,2.0,53.0,THPT Nguyễn Công Trứ
D39EBBA2XPvAibaEXe/PGAaNNWvbUH5UcB2OERFM,THPT,0.85,38.0,1.0,Trường THPT Pleiku
C47110EFXPvAibaEXe/PGAaNNWvbUF95KJJbQ6Bs,THPT,0.9666666666666667,54.0,18.0,THPT Vĩnh Thuận
479E77A5XPvAibaEXe/PGAaNNWvbUNSidEr/n3m6,THPT,0.8833333333333333,2.0,177.0,THPT Đông Du
8219EA1DXPvAibaEXe/PGAaNNWvbUAwbuGIAPcg8,THPT,0.85,44.0,24.0,THPT Dĩ An
5B6EEE16XPvAibaEXe/PGAaNNWvbUKB+697ALtA7,THPT,0.9,31.0,4.0,THPT Chuyên Võ Nguyên Giáp
4BF55C16XPvAibaEXe/PGAaNNWvbULYXtWNJnzcF,THPT,0.8166666666666667,2.0,177.0,THPT Đông Du
D8B81312XPvAibaEXe/PGAaNNWvbUIfmRv3bR2wn,THPT,0.85,2.0,211.0,THCS THPT Phan Bội Châu
A0E35B97XPvAibaEXe/PGAaNNWvbUGQEBTzIPKBn,THPT,0.85,41.0,9.0,THPT Huỳnh Thúc Kháng
5E0FC4EBXPvAibaEXe/PGAaNNWvbUCzKilEFlh7i,THPT,0.8333333333333334,63.0,17.0,THPT Trường Chinh
2D110B13XPvAibaEXe+lo6eJkHWaQQMgTsF0se6I,THPT,0.8,43.0,24.0,Trung tâm GDNN - GDTX huyện Bù Đốp
8688239BXPvAibaEXe+lo6eJkHWaQdxLz0hNOYmX,THPT,0.9166666666666666,2.0,21.0,THPT Trần Hữu Trang
D06A6062XPvAibaEXe+lo6eJkHWaQfW61NRig7M4,THPT,0.7666666666666667,56.0,22.0,THPT Lê Hoài Đôn
8DD54882XPvAibaEXe+lo6eJkHWaQfUDaN2PBVrw,THPT,0.9333333333333333,2.0,34.0,THPT Nguyễn Văn Linh
553F83D0XPvAibaEXe+lo6eJkHWaQXmbzaKicEyV,THPT,0.9666666666666667,2.0,16.0,THPT chuyên Lê Hồng Phong
F257BE3EXPvAibaEXe+lo6eJkHWaQX9v5OomNEKz,THPT,0.95,41.0,41.0,THPT Ngô Gia Tự
4D3A7564XPvAibaEXe+lo6eJkHWaQXS675WWbm48,THPT,0.9666666666666667,50.0,190.0,Trường THPT chuyên Nguyễn Quang Diêu
51BD86DFXPvAibaEXe+lo6eJkHWaQbDd3aiNSKaR,THPT,0.8166666666666667,52.0,16.0,THPT Hoà Hội
C83A25DCXPvAibaEXe9X5bpEKoa0mpWrB2A9Cxkr,THPT,0.85,63.0,17.0,THPT Trường Chinh
A2A984F7XPvAibaEXe9X5bpEKoa0mp7uV1IrtAed,THPT,0.8166666666666667,51.0,21.0,THPT Thạnh Mỹ Tây
91C557BBXPvAibaEXe9X5bpEKoa0mhzvi3xnxIFE,THPT,0.8833333333333333,2.0,57.0,THPT Nguyễn Chí Thanh
0E631785XPvAibaEXe9X5bpEKoa0mgPWtTwg2Rv7,THPT,0.95,2.0,43.0,THPT Sương Nguyệt Anh
85FA5549XPvAibaEXe9X5bpEKoa0msFO9rQKADMb,THPT,0.9,44.0,8.0,THPT Bình Phú
5032DD33XPvAibaEXe9X5bpEKoa0mil88XvSiR4r,THPT,0.7833333333333333,31.0,25.0,THPT số 1 Bố Trạch
49DAAF86XPvAibaEXe9X5bpEKoa0mvcHmZ6rxBHe,THPT,1.0,35.0,15.0,Trường THPT Tư thục Nguyễn Bỉnh Khiêm
9A277123XPvAibaEXe9X5bpEKoa0mmVF3uzIq5Oi,THPT,0.8333333333333334,47.0,8.0,THPT Tánh Linh
DA4648BAXPvAibaEXe8CKeIX0ksEeHU30caAK2WT,THPT,0.8166666666666667,56.0,4.0,THPT Trần Văn Ơn
4BBC8929XPvAibaEXe8CKeIX0ksEeC2D6tQZpWFy,THPT,0.9333333333333333,51.0,21.0,THPT Thạnh Mỹ Tây
0DF7E48FXPvAibaEXe8CKeIX0ksEeL2w5FD8Xm6m,THPT,0.8,41.0,24.0,THPT Hoàng Hoa Thám
0D5F945EXPvAibaEXe8CKeIX0ksEeMKbwIdrC9sO,THPT,0.7833333333333333,49.0,6.0,THPT Nguyễn Hữu Thọ
93A9CF9CXPvAibaEXe8CKeIX0ksEeBrXPslhxsvc,THPT,0.8833333333333333,35.0,15.0,Trường THPT Tư thục Nguyễn Bỉnh Khiêm
E4B6DF8FXPvAibaEXe8CKeIX0ksEeOVNfnmEXxAN,THPT,0.7833333333333333,38.0,10.0,Trường THPT Lương Thế Vinh
1AD297DDXPvAibaEXe8CKeIX0ksEeAeGfbwnr/en,THPT,0.8,28.0,85.0,THPT Triệu Sơn 2
6ECC84E3XPvAibaEXe80gGmWuNekTx6pALIDxBTb,THPT,0.85,41.0,17.0,THPT chuyên Lê Quý Đôn
D3602269XPvAibaEXe80gGmWuNekT3Wj11uigulq,THPT,0.8833333333333333,48.0,53.0,THPT Trấn Biên
302C659FXPvAibaEXe80gGmWuNekT9HQE57P7S6C,THPT,1.05,53.0,25.0,THPT Trương Định
9060AE5FXPvAibaEXe80gGmWuNekT7ow9cjIQrPL,THPT,0.85,48.0,5.0,THPT Tam Hiệp
741BAEACXPvAibaEXe80gGmWuNekT1wC4lREx8CX,THPT,0.8166666666666667,48.0,53.0,THPT Trấn Biên
3509A991XPvAibaEXe80gGmWuNekT+evWuZt6lQJ,THPT,0.8166666666666667,42.0,48.0,THPT Lộc Thành
11F38B68XPvAibaEXe80gGmWuNekT2/+0d+ftnaD,THPT,0.8333333333333334,2.0,22.0,THTH Đại học Sài Gòn
46187904XPvAibaEXe80gGmWuNekT+rbNOzGEoBh,THPT,0.7833333333333333,50.0,840.0,THPT Nguyễn Trãi
8C0E9865XPvAibaEXe80gGmWuNekT1ErEJxTk1W6,THPT,0.9,34.0,17.0,THPT Nguyễn Duy Hiệu
CB86CEE4XPvAibaEXe83EtiN4MI2njAKlLHQPQif,THPT,0.8166666666666667,37.0,15.0,THPT Số 1 An Nhơn
6D3A87A7XPvAibaEXe83EtiN4MI2nuc2Ln7/pp+p,THPT,0.9166666666666666,28.0,110.0,THPT Hoằng Hoá 3
3CB24347XPvAibaEXe83EtiN4MI2ntso94rp+aT8,THPT,0.9333333333333333,2.0,21.0,THPT Trần Hữu Trang
314A9EFDXPvAibaEXe83EtiN4MI2ntxuuYLz7OKp,THPT,0.9833333333333333,2.0,56.0,THPT Nguyễn Thái Bình
CEC75FD2XPvAibaEXe83EtiN4MI2nirXiNqj+z66,THPT,0.85,35.0,44.0,Trường THCS và THPT Phạm Kiệt
E05F2DEAXPvAibaEXe83EtiN4MI2nrg4ZhF61JN+,THPT,0.85,52.0,13.0,THPT Xuyên Mộc
694330BCXPvAibaEXe83EtiN4MI2ngvW488wCP/k,THPT,0.8666666666666667,35.0,20.0,Trường THPT Chu Văn An
03B1BF87XPvAibaEXe83EtiN4MI2ns5qclkPljKC,THPT,0.9,37.0,18.0,THPT Hòa Bình
6920B9AAXPvAibaEXe83EtiN4MI2ns6NZhlUAIhE,THPT,0.95,38.0,5.0,Trường THPT Chuyên Hùng Vương
AB1F6AA8XPvAibaEXe83EtiN4MI2nszto21zu7z9,THPT,0.8,35.0,15.0,Trường THPT Tư thục Nguyễn Bỉnh Khiêm
73FCD503XPvAibaEXe/YKAlYnC3m942m9zzkluOD,THPT,0.9,41.0,21.0,THCS&THPT iSchool Nha Trang
B8B283D5XPvAibaEXe/YKAlYnC3m91sqM4cV+tQd,THPT,0.8666666666666667,41.0,13.0,THPT Trần Quý Cáp
2F237AA9XPvAibaEXe/YKAlYnC3m967dOM4WK2IJ,THPT,1.0333333333333334,2.0,98.0,THPT Phạm Văn Sáng
F309234EXPvAibaEXe/YKAlYnC3m9+IBO6iZJ0Cn,THPT,0.8166666666666667,44.0,8.0,THPT Bình Phú
81D2AB1FXPvAibaEXe/YKAlYnC3m9ztTf89k7OWJ,THPT,0.8166666666666667,49.0,6.0,THPT Nguyễn Hữu Thọ
5792EF1AXPvAibaEXe/YKAlYnC3m90v7yzvt+OYP,THPT,0.8833333333333333,47.0,1.0,THPT Phan Bội Châu
001BB05EXPvAibaEXe/YKAlYnC3m92BzM+VhZyc0,THPT,0.8666666666666667,41.0,19.0,THPT Hoàng Văn Thụ
4283E94DXPvAibaEXe/YKAlYnC3m95G1fYL7q9dG,THPT,0.8166666666666667,2.0,75.0,THPT An Lạc
2D469F82XPvAibaEXe/YKAlYnC3m9yAnVuerKywR,THPT,0.9,48.0,54.0,THPT Bình Sơn
85C41091XPvAibaEXe9iKIRwqei6/E3o02jlnmLt,THPT,0.9333333333333333,35.0,27.0,Trung tâm GDNN-GDTX huyện Nghĩa Hành
29DAC8E5XPvAibaEXe9iKIRwqei6/AabAAzMbpha,THPT,0.8,2.0,61.0,THPT Tây Thạnh
42A0A8EEXPvAibaEXe9iKIRwqei6/H1ClHJwaL6I,THPT,0.9333333333333333,56.0,7.0,THPT Trần Văn Kiết
C64D90E5XPvAibaEXe9iKIRwqei6/FXZkk7l9+S5,THPT,0.85,2.0,102.0,THPT Cần Thạnh
C4EF60B5XPvAibaEXe9iKIRwqei6/NTXytYp5Ig8,THPT,0.9833333333333333,2.0,102.0,THPT Cần Thạnh
08BC841DXPvAibaEXe9iKIRwqei6/L0WWlLQs16x,THPT,0.8166666666666667,2.0,1.0,THPT Trưng Vương
6AEF2EC0XPvAibaEXe86736b6Ol+/EwtIJHvLVRJ,THPT,1.1,2.0,57.0,THPT Nguyễn Chí Thanh
F99CE6DEXPvAibaEXe86736b6Ol+/O3ZQU1AW1/C,THPT,0.95,53.0,19.0,THPT Chợ Gạo
E934BCD3XPvAibaEXe86736b6Ol+/MLJ5vOrqV8U,THPT,0.8,44.0,8.0,THPT Bình Phú
7259E977XPvAibaEXe86736b6Ol+/PreEMY8ftS4,THPT,0.9,2.0,57.0,THPT Nguyễn Chí Thanh
A7930FD4XPvAibaEXe86736b6Ol+/NWYAIVhPTcM,THPT,0.7833333333333333,47.0,4.0,THPT Hàm Thuận Bắc
33F840BEXPvAibaEXe86736b6Ol+/H7P3cx/tka4,THPT,0.8833333333333333,2.0,61.0,THPT Tây Thạnh
7B2E75BDXPvAibaEXe86736b6Ol+/BCzp68OCKKb,THPT,0.8833333333333333,54.0,9.0,THPT Tân Hiệp
678A7E53XPvAibaEXe86736b6Ol+/Jgt4POkxWzn,THPT,0.9666666666666667,43.0,24.0,Trung tâm GDNN - GDTX huyện Bù Đốp
6F75613CXPvAibaEXe8/3iNqySORbxrmFjIeDct7,THPT,1.1166666666666667,51.0,32.0,THPT Huỳnh Thị Hưởng
5A122A3DXPvAibaEXe8/3iNqySORby1yTn00kxsc,THPT,0.9,30.0,45.0,THPT Mai Thúc Loan
2156DAC0XPvAibaEXe8/3iNqySORb4spM8jAM1aj,THPT,0.9666666666666667,34.0,42.0,THPT Núi Thành
11D7FBB7XPvAibaEXe8/3iNqySORby7kyf2IzNeI,THPT,0.8166666666666667,53.0,16.0,THPT Chuyên TG
41EBF544XPvAibaEXe8/3iNqySORb+za0yWMmptx,THPT,0.9666666666666667,42.0,8.0,THPT Chuyên Thăng Long - Đà Lạt
9B47D5AEXPvAibaEXe8/3iNqySORb2yc7gdXyezc,THPT,0.85,48.0,66.0,THPT Trần Đại Nghĩa
FFDFD671XPvAibaEXe8/3iNqySORb8gPuwsQ8fwa,THPT,0.8666666666666667,2.0,59.0,THPT Tân Bình
E5E0D43FXPvAibaEXe8/3iNqySORb3L2iR3l7H2W,THPT,0.7833333333333333,2.0,134.0,TTGDTX Quận Phú Nhuận
1D719539XPvAibaEXe8/3iNqySORb0aV1QVzGOA5,THPT,0.9833333333333333,48.0,6.0,THPT Nguyễn Trãi
