mssv,ngaythi,url,loaixn,tongdiem,ngay_xet_loai,thoi_gian_nop_bang,ket_qua_xet_loai,year,month,day
92262318XPvAibaEXe+9lRniSKKSh+83KZVVG9TN,2020-03-15,bangcap/14520133/14520133_bangcap_TOEIC_LR_20201021153224.jpg,TOEIC_LR,605.0,2020-10-27 14:26:21.000000000,2020-10-21,,2020,10,27
92865BACXPvAibaEXe8bN4Cpfw33op1x4yhxVlFn,2020-05-25,bangcap/16521409/16521409_bangcap_TOEIC_LR_20200630203018.jpg,TOEIC_LR,625.0,2020-07-13 14:48:10.000000000,2020-06-30,,2020,7,13
92865BACXPvAibaEXe8bN4Cpfw33op1x4yhxVlFn,2021-03-07,bangcap/16521409/16521409_bangcap_TOEIC_SW_20210316110033.png,TOEIC_SW,215.0,2021-04-17 21:13:57.343387471,2021-03-16,,2021,4,17
92CA5CD2XPvAibaEXe+PYhTHWVfmAiLQeBANkmsc,2020-11-19,bangcap/19521564/19521564_bangcap_TOEIC_LR_20201130121556.jpg,TOEIC_LR,485.0,2021-01-01 21:13:57.343387471,2020-11-30,,2021,1,1
930BB6AEXPvAibaEXe8+Y7C9z9gIQ7RT211VdpGs,2018-04-15,bangcap/19520965/19520965_bangcap_Cambrigde_20201102150827.jpg,Cambrigde,144.0,2020-11-11 13:41:32.000000000,2020-11-02,từ chối,2020,11,11
9315462DXPvAibaEXe9p78qxnH96y4Nl5pn4/GJa,2020-01-31,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/15521039/15521039_chungchi_TOEIC_LR_20200217085149.jpg,TOEIC_LR,455.0,2020-03-28 15:06:48.000000000,2020-02-17,,2020,3,28
931BA14CXPvAibaEXe9wxm0WjsXoKj0gFlOKugq0,2020-06-22,bangcap/16521102/16521102_bangcap_TOEIC_LR_20200731200514.jpg,TOEIC_LR,880.0,2020-08-22 10:43:00.000000000,2020-07-31,,2020,8,22
932089EEXPvAibaEXe/Q6C3BndaQULTeezxTyf6z,2018-12-29,bangcap/15520160/15520160_bangcap_TOEIC_LR_20200509085010.jpg,TOEIC_LR,485.0,2020-06-08 11:06:18.000000000,2020-05-09,,2020,6,8
932543F0XPvAibaEXe+Ssm9D7QPetJ3FzTb5UiU+,2020-12-30,bangcap/19522413/19522413_bangcap_TOEIC_LR_20210120230752.jpeg,TOEIC_LR,760.0,2021-02-21 21:13:57.343387471,2021-01-20,,2021,2,21
9335D2DEXPvAibaEXe9U/AuCAN8zZ2/mO12qCzRs,2020-11-20,bangcap/18520176/18520176_bangcap_TOEIC_LR_20210121093939.jpg,TOEIC_LR,770.0,2021-02-22 21:13:57.343387471,2021-01-21,,2021,2,22
933B903CXPvAibaEXe+Wjq/eoSKNhVqg5VfeqaPH,2018-11-19,bangcap/14520491/14520491_bangcap_TOEIC_LR_20190304132901.png,TOEIC_LR,865.0,2019-04-12 15:21:06.000000000,2019-03-04,,2019,4,12
933C1FD5XPvAibaEXe9M021iVaAwILPVFi2513M9,,bangcap/13520872/13520872_bangcap_TOEIC_LR_20180305111110.jpg,TOEIC_LR,720.0,2018-04-12 09:47:16.000000000,2018-03-05,,2018,4,12
93593695XPvAibaEXe+eLIaWcq1sIy5lY+pq/o0l,2021-01-10,bangcap/18521587/18521587_bangcap_TOEIC_LR_20210122085506.jpg,TOEIC_LR,745.0,2021-02-23 21:13:57.343387471,2021-01-22,,2021,2,23
935D1AC7XPvAibaEXe94sdmGYWWl8NWfMuivPji8,2020-12-26,bangcap/19522213/19522213_bangcap_TOEIC_LR_20210120191546.jpeg,TOEIC_LR,705.0,2021-02-21 21:13:57.343387471,2021-01-20,,2021,2,21
93AAB5EDXPvAibaEXe9VICkMSMM7n6VXqZd9oFC3,2020-07-25,bangcap/13521019/13521019_bangcap_TOEIC_LR_20200923152520.jpg,TOEIC_LR,595.0,2020-10-26 15:55:56.000000000,2020-09-23,,2020,10,26
93ED182AXPvAibaEXe+A+6mRsShfH/ilHgWOiULi,2019-01-05,bangcap/15520918/15520918_bangcap_TOEIC_LR_20190907120019.jpg,TOEIC_LR,515.0,2019-10-22 10:56:28.000000000,2019-09-07,,2019,10,22
93F7E523XPvAibaEXe+E+n9mGyneJ+aGlbvGGQIn,2019-05-11,bangcap/15520124/15520124_bangcap_TOEIC_LR_20200227125431.jpg,TOEIC_LR,615.0,2020-03-28 15:06:18.000000000,2020-02-27,,2020,3,28
9413101AXPvAibaEXe/CiPILllTJfxFao8wRCU5b,2019-11-21,bangcap/15520331/15520331_bangcap_TOEIC_LR_20191216114955.jpeg,TOEIC_LR,455.0,2020-01-03 14:05:01.000000000,2019-12-16,,2020,1,3
942D302DXPvAibaEXe9eYPx3anXXhP4CDh9NTvBT,2019-10-06,bangcap/16520461/16520461_bangcap_TOEIC_SW_20200410125819.png,TOEIC_SW,200.0,2020-04-14 15:47:53.000000000,2020-04-10,,2020,4,14
942F0218XPvAibaEXe+fW1Bg/roenG4L//m3CNcy,2018-12-29,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17521007/17521007_chungchi_TOEIC_LR_20200824141006.jpg,TOEIC_LR,615.0,2020-09-14 14:45:48.000000000,2020-08-24,,2020,9,14
944F1673XPvAibaEXe+RJ/Hp4D2y82WAc4xxpIsw,2018-12-29,bangcap/15520101/15520101_bangcap_TOEIC_LR_20190531095817.jpg,TOEIC_LR,670.0,2019-07-01 11:09:57.000000000,2019-05-31,,2019,7,1
945E1F43XPvAibaEXe/Ae0QceO7lRFjQrGX+fK0y,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17521087/17521087_chungchi_TOEIC_LR_20190923162454.jpg,TOEIC_LR,615.0,2019-10-16 10:37:39.000000000,2019-09-23,,2019,10,16
94908D99XPvAibaEXe+JF4o+SEKcGO66xrFvn1ci,2021-02-06,bangcap/16520178/16520178_bangcap_IELTS_20210217154237.jpg,IELTS,7.5,2021-03-01 13:51:27.000000000,2021-02-17,,2021,3,1
94A79F45XPvAibaEXe+dJypLAXKUXx9tmvinQDNg,2021-03-20,bangcap/16521172/16521172_bangcap_TOEIC_LR_20210406212222.jpg,TOEIC_LR,605.0,2021-05-27 16:17:45.000000000,2021-04-06,,2021,5,27
94C40B80XPvAibaEXe9FHRfjQvHQkT4dzzR5MVUQ,2020-09-24,bangcap/19521333/19521333_bangcap_TOEIC_LR_20201007200626.jpg,TOEIC_LR,715.0,2020-11-08 21:13:57.343387471,2020-10-07,,2020,11,8
