mssv,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,80,80,76,80,70,84,86,100,86,82,-1,-1,-1,-1,-1,-1
00E6586DXPvAibaEXe+SXBrvSceI6ZBiVR5JBtyI,81,74,85,72,77,79,76,-1,-1,-1,-1,-1,-1,-1,-1,-1
00ED4740XPvAibaEXe8t4cDFHKW3STPGGpmHJW7E,85,79,66,87,70,81,77,60,73,-1,-1,-1,-1,-1,-1,-1
00F2C35AXPvAibaEXe9p78qxnH96y4B0n45LtsTr,67,36,64,41,56,56,63,55,47,-1,-1,-1,-1,-1,-1,-1
0103EBB9XPvAibaEXe+LOVcofflPOp4M1bu/q8RE,95,95,100,100,100,100,100,99,-1,-1,-1,-1,-1,-1,-1,-1
010ADE2EXPvAibaEXe+nMqNhjtt9Y8KIg355Y2bI,0,77,77,97,97,70,59,62,68,-1,-1,-1,-1,-1,-1,-1
010EBFE8XPvAibaEXe/fptT4PBq8NAZhCnWkwVzN,90,95,100,100,100,100,91,85,-1,-1,-1,-1,-1,-1,-1,-1
011201F7XPvAibaEXe+OhmjSj4XEzZe7iRZlaaxm,70,90,90,85,81,85,95,100,74,-1,-1,-1,-1,-1,-1,-1
0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH,82,78,78,93,93,63,63,81,64,75,66,-1,-1,-1,-1,-1
011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC,80,75,68,67,77,72,79,70,79,74,-1,-1,-1,-1,-1,-1
01254D12XPvAibaEXe8yzZ/8QUtgdgO7k755LUHF,100,100,97,97,81,86,62,68,80,75,68,79,50,50,53,-1
0128EAA3XPvAibaEXe8GdejRAl8Wnc0w6KpamDBh,0,65,65,55,55,72,59,56,42,-1,-1,-1,-1,-1,-1,-1
012B2267XPvAibaEXe92T150Nt0xZhRfmxS1FqFL,77,67,58,69,88,91,100,90,64,-1,-1,-1,-1,-1,-1,-1
012D5FA0XPvAibaEXe8ekJLnPa5PiwwwoUly7zXh,85,82,93,84,85,83,97,68,25,50,50,-1,-1,-1,-1,-1
01339FADXPvAibaEXe/a3PM8AP2Ng0uXDZOGMC2W,70,70,83,75,66,55,57,61,42,65,70,58,50,53,-1,-1
01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt,59,50,61,67,71,62,70,61,45,-1,-1,-1,-1,-1,-1,-1
013DFC27XPvAibaEXe9KWpGOh3zHlxPSiJ5QTA8b,81,49,57,55,59,68,60,55,50,50,-1,-1,-1,-1,-1,-1
014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk,80,80,85,95,100,100,100,100,91,92,-1,-1,-1,-1,-1,-1
014C54F7XPvAibaEXe8JhJ4J3nSSlz1TA0ntP3g/,90,99,87,90,100,96,94,-1,-1,-1,-1,-1,-1,-1,-1,-1
0152D73FXPvAibaEXe8dBqMaN7rGhiSNefyOeUyN,61,75,86,90,86,85,100,100,93,58,58,58,50,-1,-1,-1
0155D7F9XPvAibaEXe+RaLErOlzghWNFVX9jT8kn,95,88,83,80,100,100,81,85,73,58,53,-1,-1,-1,-1,-1
0155F093XPvAibaEXe85dXQU86uLqurdL0uRwFQi,60,60,76,76,68,68,76,62,-1,-1,-1,-1,-1,-1,-1,-1
0158F6BAXPvAibaEXe+uerJTeDQlAcQOde1PcQVK,0,97,97,100,100,100,100,100,98,-1,-1,-1,-1,-1,-1,-1
01759300XPvAibaEXe/kSDDr/jkTQ8zO4LPi0cuK,95,100,100,90,100,100,81,-1,-1,-1,-1,-1,-1,-1,-1,-1
017CD572XPvAibaEXe9CFhTkHod3yQuYGl3Dx7Ko,69,36,60,70,63,58,58,58,-1,-1,-1,-1,-1,-1,-1,-1
0183EC24XPvAibaEXe9/Gb/OX3UNHqZX6lNJWrK/,60,60,89,89,80,80,80,74,-1,-1,-1,-1,-1,-1,-1,-1
0188BAD2XPvAibaEXe/AdnwkoyhfDtYg0Faie5sR,80,80,81,75,81,82,72,71,85,79,58,-1,-1,-1,-1,-1
018B537BXPvAibaEXe+JOtnwEvC97qLE0CEjcJMZ,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
019408C0XPvAibaEXe9fmk+IGAumNdUM6Phb8veW,80,80,92,92,99,99,100,100,-1,-1,-1,-1,-1,-1,-1,-1
019568E7XPvAibaEXe+P3P+fEFRIWDXExiPZGRaa,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
01B27747XPvAibaEXe9MnecufC0W/lxoJKNrs8f0,78,66,75,72,80,66,66,-1,-1,-1,-1,-1,-1,-1,-1,-1
01B2E0C0XPvAibaEXe+LbmSTUWVMuCiA7Fe9lwmP,60,80,85,90,90,80,88,91,93,-1,-1,-1,-1,-1,-1,-1
01B88734XPvAibaEXe+E+n9mGyneJyl+8Jf7jzUD,87,80,69,76,80,80,80,90,90,50,53,50,-1,-1,-1,-1
01C3E360XPvAibaEXe8aLAPPdCF+aQPfV91kc+Cb,55,62,55,66,67,75,59,81,82,77,65,-1,-1,-1,-1,-1
023C593EXPvAibaEXe9FHRfjQvHQkczLW3d0xRtJ,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
023D2F97XPvAibaEXe/V92w6Vxv2r1UinrIdobJ6,80,75,76,75,83,79,66,73,76,66,58,-1,-1,-1,-1,-1
023F89C8XPvAibaEXe/7Lh49MHjRPu+RMRzizfCa,55,55,76,76,99,99,91,90,-1,-1,-1,-1,-1,-1,-1,-1
0240B76EXPvAibaEXe8KSegZW1rFPLOz0dvU4sSm,87,58,86,79,69,80,62,64,41,-1,-1,-1,-1,-1,-1,-1
024F7582XPvAibaEXe/QPFjJxKB5fpc+JU5L2yoh,90,90,85,85,100,100,100,99,76,92,-1,-1,-1,-1,-1,-1
025639C4XPvAibaEXe9h45naFhFKYhEBg5cfNLVj,72,71,71,72,72,53,53,67,44,60,64,63,63,60,65,50
0266A632XPvAibaEXe8fDZWQ6Sz6wmY53Xv+7QbI,90,85,88,96,77,82,66,-1,-1,-1,-1,-1,-1,-1,-1,-1
0268144BXPvAibaEXe/1bsgFpjh4Axad4rWmHEhg,67,67,82,92,93,100,80,72,47,-1,-1,-1,-1,-1,-1,-1
0269665FXPvAibaEXe+kufBIlPDTdTr7u196rxex,52,52,60,74,41,18,12,-1,-1,-1,-1,-1,-1,-1,-1,-1
0269D0CEXPvAibaEXe9Z67almz7y5nIpJrijnwIg,70,71,71,67,67,66,51,51,37,55,57,55,-1,-1,-1,-1
026C80C5XPvAibaEXe8kGcWiFCcO6X+kqE6zW6qM,65,85,80,79,66,80,45,71,66,58,-1,-1,-1,-1,-1,-1
02742628XPvAibaEXe+R1vbMbxqswIQR7pz52Lxo,100,92,100,87,92,81,72,44,15,-1,-1,-1,-1,-1,-1,-1
02784045XPvAibaEXe+72vl6t/d8GVXw6d/9TNFr,78,90,81,80,80,94,79,82,74,70,58,-1,-1,-1,-1,-1
0294BF8FXPvAibaEXe9ggqkCdMDyeA7ept6yymJB,90,90,90,90,98,100,100,74,66,66,-1,-1,-1,-1,-1,-1
029F830DXPvAibaEXe/2X6aOdUt4J51IQ9VxbP3E,0,59,59,100,100,100,82,100,100,-1,-1,-1,-1,-1,-1,-1
029FF400XPvAibaEXe/CDMtnBauOUI3KOirhtT3a,99,90,91,79,82,84,91,100,73,-1,-1,-1,-1,-1,-1,-1
02B1B771XPvAibaEXe/MFNByxh05bwp2psmEm6tl,95,100,90,75,81,90,83,96,-1,-1,-1,-1,-1,-1,-1,-1
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,62,64,81,75,79,74,58,67,58,58,50,-1,-1,-1,-1,-1
02BF7901XPvAibaEXe81w9eVvyp+l/OBpi+Ps6nu,85,65,64,70,80,70,75,70,79,58,50,63,-1,-1,-1,-1
02C4644FXPvAibaEXe+wmtNhlfgIwhu0VSXU3tYN,86,87,87,96,96,100,100,81,79,100,85,-1,-1,-1,-1,-1
02D11BA0XPvAibaEXe/twT+sf632fV68MOhuBLMU,100,100,100,100,100,100,86,-1,-1,-1,-1,-1,-1,-1,-1,-1
02D9A220XPvAibaEXe+KnWgScvZ27LP2iqB5e3NW,78,70,66,82,89,77,70,-1,-1,-1,-1,-1,-1,-1,-1,-1
02F183F0XPvAibaEXe/kJUgsv26Ua01LZ73bPyUY,90,90,66,94,67,62,65,80,80,68,75,50,50,53,-1,-1
02FA9B28XPvAibaEXe9hPQQhQOOPyX9iSjJX1yiu,59,48,48,54,54,24,24,10,30,15,50,-1,-1,-1,-1,-1
02FAB066XPvAibaEXe+P3P+fEFRIWPj6XPfklz7k,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
030AB9A8XPvAibaEXe+PYhTHWVfmAnz8waNlDG/x,90,72,88,82,89,81,94,-1,-1,-1,-1,-1,-1,-1,-1,-1
030FC1CFXPvAibaEXe+9lRniSKKSh3iBkTOiNqQs,86,86,68,68,31,64,62,57,76,75,68,75,50,50,53,50
0318F06CXPvAibaEXe+bs0QruU9p+gh3raidhDZk,55,43,23,36,47,41,2,5,44,60,70,-1,-1,-1,-1,-1
032009DBXPvAibaEXe8hLNatuVCg+bidSLDlKFer,80,80,55,69,58,55,55,76,70,68,79,50,61,58,-1,-1
