mssv,diemtrungbinh
284A2135XPvAibaEXe+AdDQ9dDabO0fMh2wGcQkX,5.321052631578948
F47C0BFAXPvAibaEXe/OS4eb0G5N4iLf8Q8d67rT,7.269871794871796
97F147AEXPvAibaEXe8u6ih8pRJJpISXbTVPztKI,7.629017857142858
A4B7C299XPvAibaEXe8Vzfjn3dDTT8ZvxapMqkTk,9.19915254237288
633C2DB4XPvAibaEXe/0WaLAM5c/YKShxsrcX9XB,7.754929577464786
2C5ACFD5XPvAibaEXe+43HJfrfERJBKn5Utcp9fJ,7.308695652173914
76847725XPvAibaEXe81w9eVvyp+l1ld/bFrsdM1,8.33894230769231
1F78B3EEXPvAibaEXe+RaLErOlzghQmOT0lMUdW7,8.887619047619053
A8BBF049XPvAibaEXe90z1QOLCQ2gmQBiRaUxAB4,8.513669064748202
507F8941XPvAibaEXe+Xr9qo1GFY4G6u+uYR14g2,7.523178807947021
BA0D61C3XPvAibaEXe+j3SiA7vPeyL/gClFwu/sC,6.869186046511628
6EBFCB27XPvAibaEXe93UbSm/ewAMg+U+iVp7yVe,7.232867132867132
E43452ADXPvAibaEXe8PCwJaf/8k/NfiZoSFCxNp,8.46356589147287
DB608393XPvAibaEXe/U36FI9OTo3dwWHmULYI+0,8.160000000000002
A0F8F8C4XPvAibaEXe+V8Z3g2JN9Fze7peyE13DB,9.025252525252524
7C644D4EXPvAibaEXe/cv+jm0W5r/dmv3+00NSHF,5.158536585365853
87F62987XPvAibaEXe+Ps8zYokGtSZkFVqbmiPq6,9.087769784172664
29026B5FXPvAibaEXe+y4Ivhjp8Sxrc1fKZ69ukD,7.814666666666668
BF7644D0XPvAibaEXe9TvOBYlD1INudm9JCY1WZy,8.360583941605842
6FCD9674XPvAibaEXe9Notw1bhKSwkACKRlIb21+,7.671917808219181
EDF54EABXPvAibaEXe/rGCwvCZJDhjQeSOwn1trm,7.264204545454546
0DD7AAA1XPvAibaEXe8M4ltS8XjC9XHEvQLhYeaZ,9.130864197530864
EAB3A748XPvAibaEXe+kZ0usiWMt+jWV+UskTyKS,8.964285714285714
E649F774XPvAibaEXe9mv02dd1fbUxn6voPu2F0R,7.122023809523809
C7090CEFXPvAibaEXe+MN8lfqqsx6cKU74JWYP7t,8.722222222222221
048D8334XPvAibaEXe940vcGUhedsJltEkEb7wZ+,7.746710526315789
8DAE5511XPvAibaEXe+TioGOAQy/3xzzqxMY0gs8,7.8634920634920675
C96C18B6XPvAibaEXe/NmYryGGvMv1xxHM83ME1D,5.8431372549019605
D02303DDXPvAibaEXe/Yd5khqDzvKPEFMYkSry0O,2.41875
CBB6144BXPvAibaEXe9LZwdMb86KA8a4TiZpwgMb,5.856393442622954
4784C672XPvAibaEXe9Tdz4CswjA16eg3cXIH7xa,7.699999999999999
954668C3XPvAibaEXe9MLbI3cCq2BJdrrPOjifym,8.049645390070923
359713C1XPvAibaEXe9B2tolTZ0JLogJmTYzPqSh,9.319999999999997
80E84091XPvAibaEXe8NM1/5chXJml1eQF65VZ4R,8.885714285714288
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,8.076470588235296
AE129972XPvAibaEXe8IGiiWauHvTP69gntNs7/U,8.313768115942029
A94EF1EDXPvAibaEXe/69hWWh+JD2djEXUqujFHh,8.090196078431372
167B8EDEXPvAibaEXe8dsW93DhIODNXcaPetSzPj,7.293197278911566
9B498412XPvAibaEXe/XOPUzjjLegJ07OJR+rTz/,7.3149532710280365
5DC3DE95XPvAibaEXe/ZbeP+H+Olzqnb4x7Psf/T,8.163888888888888
ADECCC1DXPvAibaEXe/r5MZmMPRuFTmas3TD9gma,7.491156462585034
CA40E650XPvAibaEXe+gzQv7yQRYbvIRxiHCUyct,7.492028985507245
F1AACB01XPvAibaEXe8M37suqoe4Cbsh5M0kmj9t,7.052040816326534
7081FE0AXPvAibaEXe/WSo41+3xFkBWpG5iRJavV,7.198550724637682
8C2FAA40XPvAibaEXe+NmgQbVGcjJ+7V2UMYMM22,7.41993006993007
3593E659XPvAibaEXe9DMENNf4iGco/PRxwHxdTN,7.555555555555557
364CB864XPvAibaEXe/Dy4K4yiQpODZIkZFRB90m,7.519366197183099
DFF1BB89XPvAibaEXe9mY8oBCa38H01CTx/2gJhs,6.741758241758242
8CDADE17XPvAibaEXe86ShnmDByrm/PXR02YOZ+M,8.294186046511633
DD6DDD9BXPvAibaEXe8808q51BnmQgYlXLk+6Sms,7.859659090909088
8FAA301EXPvAibaEXe/+PcSgI7YkecbF3wQdfAL2,5.65976331360947
85517F77XPvAibaEXe92Mw4ZEAxz00FpFR/WdtyQ,5.813333333333334
70AC0FBBXPvAibaEXe+6333OdPqlxlVGp5zlM4vZ,8.588172043010752
85A1EF64XPvAibaEXe/asAVnWDRS7aDwG/eutYGP,8.768055555555556
88C15831XPvAibaEXe879+AOg1gh8uMWWp9sXQnJ,7.362091503267974
920C35D4XPvAibaEXe9/su+qLcYDMuUFi2r5AeYR,8.460553633217996
CA709E76XPvAibaEXe9LgoVobBD2datZjdVa1H2B,7.992753623188406
F07997ADXPvAibaEXe+ba4DZYrt+PLuUQfxkDw3t,8.9936
7843249EXPvAibaEXe81fV8vPRwD6GjOyqUKsOyG,7.652800000000002
0862B608XPvAibaEXe9i7Lm5hcsAnxxUOt0fMFu4,8.062068965517243
08616517XPvAibaEXe/hbpXNN0JwR9bG86Wh2S7V,8.449206349206348
50F45E0FXPvAibaEXe+1j/AqdkpM28+W/hgGnHN2,7.470486111111111
BA44ED79XPvAibaEXe/YCV++RiavqMMeSK1nWETl,8.868000000000004
EAEA332CXPvAibaEXe9/su+qLcYDMtK7PvaLWMdM,6.4385542168674705
3E4D0E8EXPvAibaEXe+QQPRhm8VpXBPmSV2Jz4/r,9.09032258064516
ED48A9E7XPvAibaEXe8n5o9RyAxUM4PXiL843XXo,7.4453237410071935
C546132EXPvAibaEXe8f6OVD8w2NiLwoiUpHA3uR,8.304729729729731
7576D0C0XPvAibaEXe/bnXzU5L5zl1K0eySZfhH9,8.844943820224719
B743988CXPvAibaEXe/BLy1WUS+NVq+8RKQE3fi+,7.780434782608695
523AB451XPvAibaEXe+Ee/bNoyDJss4A9USNSu6u,8.659689922480618
38FEDC84XPvAibaEXe9n6M+kQhqu8viyMaH0fvSb,8.306250000000002
62DA4CDCXPvAibaEXe+Y5CB/5gt3MNy76+igUpfF,7.472818791946308
19AA9696XPvAibaEXe9jjgNhrmbJFOYfNg9LpBAY,6.867666666666666
2D469F82XPvAibaEXe/YKAlYnC3m9yAnVuerKywR,6.11006711409396
9060AE5FXPvAibaEXe80gGmWuNekT7ow9cjIQrPL,6.608873720136517
4D3A7564XPvAibaEXe+lo6eJkHWaQXS675WWbm48,7.284507042253523
3E437E83XPvAibaEXe+cD1fKElqxL3AMjMxrtDdl,7.634027777777779
24DC3D8AXPvAibaEXe8ge2UHv4J4B18QuY8RUYi8,6.143962848297215
EE66C3E7XPvAibaEXe+j3SiA7vPeyAGqzr+EIfzh,6.12565445026178
712A8C08XPvAibaEXe8ooYk4mkUGmHQPU9HwABud,5.908484848484849
A1FD63B1XPvAibaEXe8s1xx8DWM0qunOL2/GjkW1,6.879672131147538
1369CC1CXPvAibaEXe/Lh6v1XxTKJbwCI0v6qDc2,8.038333333333334
2441A7C2XPvAibaEXe8VekUw4ELehn5inKXOCKf2,5.855555555555554
77C0FB57XPvAibaEXe+dMotnUFI9LWNcqnzsK0+X,7.900000000000003
809877DCXPvAibaEXe8/3iNqySORb/0vLoIti8Og,8.05
1D719539XPvAibaEXe8/3iNqySORb0aV1QVzGOA5,6.676254180602007
8DD54882XPvAibaEXe+lo6eJkHWaQfUDaN2PBVrw,8.341216216216218
20137A69XPvAibaEXe/YKN5ysyYL7OR5uzOy1bph,6.67626582278481
C754F4D9XPvAibaEXe+SyXjMWLMNHLVYhVzwUl6M,7.351851851851852
6B09280BXPvAibaEXe/uH+ehSKMSjbIRdFrD3vPI,8.738380281690143
8772F0BAXPvAibaEXe/Xn8KZjn44cTSiZLpRIHmr,8.225641025641025
5867E047XPvAibaEXe9Xnw4t0GPgx+aXR1u6ReqM,6.744884488448847
3DE54CA2XPvAibaEXe+cv7qSCYkQesWI9sWob4cD,8.1953488372093
73EBC2A0XPvAibaEXe9A3Yjgh4iPfsTl7Hkve08O,7.222751322751325
37D1D514XPvAibaEXe+D5C9Re7EGLVDf4ZYLzVb8,7.747619047619046
5D523A7AXPvAibaEXe+D/6IROQLXuuRoRNTY1YjU,7.044871794871795
62B0EC0EXPvAibaEXe9npw4GElGYwWGhw9tYHYvT,7.963133640552995
D62B278FXPvAibaEXe+FlGMOQh06KYFjlk6utHUh,7.029090909090908
DDEF94BBXPvAibaEXe/k5cHhyiupXDbA73jrlDgt,8.476315789473684
91A8EC77XPvAibaEXe8FnjVcuk8k85Z4/B6qeXqY,6.72547770700637
9D7D83D1XPvAibaEXe84pwaxft7JNybx/+MkUOAM,8.23877551020408
C217C756XPvAibaEXe9p78qxnH96y4HBwJfkd3md,8.72977777777778
9E76A377XPvAibaEXe9T3PnrA+Qsrso5SWHkVFNG,6.911585365853658
8D2B44D7XPvAibaEXe9uUBIVSoy8iuQXjZ8lS3U/,8.336241610738254
662B48AAXPvAibaEXe/GZgF/8vTyDEDzv8g78ZXX,7.242857142857144
673ADB91XPvAibaEXe8w4wM4FDYR1NFWrh+mNIVy,7.269736842105263
2B851037XPvAibaEXe8d+xuL7f/QxDCDwN0oZKPU,8.57777777777778
804F41FDXPvAibaEXe/cv+jm0W5r/QH86L9Hotin,6.896449704142012
5176EF85XPvAibaEXe/N4DRK9DfCG0Bage+Upwdh,6.377777777777778
7B5D0574XPvAibaEXe+fbCTkii8CUkWSqAU51OeZ,5.421383647798742
D9AA204DXPvAibaEXe8w4wM4FDYR1I01Lh+L74Hj,7.885093167701863
3972425AXPvAibaEXe9I+mwDmGnD1FSYMf0CckWD,8.9
A445ECF9XPvAibaEXe+Xbs+mKMRabbMHL+G5IjWQ,7.237142857142857
21432CE6XPvAibaEXe8+xHMLxEu2J6ndKVqT0C00,7.464331210191084
9AD8FCC5XPvAibaEXe+x2tIgaKoPl9WBSPSeLGIV,7.7609589041095886
B1209DF8XPvAibaEXe/QLz2rC0qlTGQSo8+7/aHF,8.565079365079363
ACF58484XPvAibaEXe/QLz2rC0qlTFiCYnfK63o1,7.456462585034014
46A97FD8XPvAibaEXe/cAy9n2SNhGH8HAFOnSqE0,8.082608695652175
106D2FC7XPvAibaEXe/CDMtnBauOUDxqHwr1XP6y,7.524475524475524
06942BB3XPvAibaEXe9F+oU8wuNbqO0ZSSBkHohm,7.5382978723404275
65734E47XPvAibaEXe8OnqoI053GrzKFsyBMIQrP,6.66969696969697
FD11FD4DXPvAibaEXe/N4DRK9DfCG+7+myqEVnjf,6.805785123966942
853C37D0XPvAibaEXe94sKKoWENjB9jIyDYOxlKa,8.37153284671533
C9C93621XPvAibaEXe99gQY5BI6dNpoxz5HhIC2l,7.921985815602837
2BDBD259XPvAibaEXe/JuPZjc4APQpxJdB32rWAT,7.635947712418302
C517D178XPvAibaEXe9pqi+c7MRJ+ISokVk6tSoH,6.977380952380951
A3D44EFEXPvAibaEXe/cJxaw79CIvqjVfB/mLHY/,4.466666666666667
FDE2D36CXPvAibaEXe8ZQB/g2cpypFECiUb9ZsQv,7.6468750000000005
9F303D80XPvAibaEXe/wCW11PHqg55kBD+JLP5JR,6.562874251497006
7DC76130XPvAibaEXe9E+KuE/nFliSlMSAt5Iod+,8.458947368421054
6A58FA75XPvAibaEXe+LOVcofflPOmoYdTK9mEGh,5.531250000000001
9666922EXPvAibaEXe/QEoeDNKATR5EfHCU31wMF,7.518978102189781
B97B0181XPvAibaEXe8CZDRB45S33BeuQryf12/0,7.131654676258992
DFE68902XPvAibaEXe8hixWw/kWsbCVcid7tN9It,8.352
029F830DXPvAibaEXe/2X6aOdUt4J51IQ9VxbP3E,6.451219512195122
94D09D4BXPvAibaEXe+VfAA12Tmd+9przJY/E7nY,7.960150375939851
BD95E2AEXPvAibaEXe9urngX21O5XQN40SICgXmA,7.8809523809523805
476101EFXPvAibaEXe8GdejRAl8WnXklb7cvfDI/,4.063725490196078
3A6A920DXPvAibaEXe/pu9fEdzG2ay0K718vt9kt,8.376691729323309
13A5B89FXPvAibaEXe/V2dF0qjs8besyGZFsyWqW,7.676298701298702
CD52678BXPvAibaEXe97hU2RTHdNnHA5E5DKdC+D,8.600699300699304
BF8F1E04XPvAibaEXe8TwY0YV57PPy+5HVCeUmYI,7.26832298136646
CAFBF12FXPvAibaEXe+L7yr6xo33KsEYZ+DAUurS,8.871755725190841
9EBAB797XPvAibaEXe+QXV6QJP/7hGn+IaH81I6O,8.829473684210527
F3200C0AXPvAibaEXe+KaiYHkmXYCR7tsqBY39X/,8.068548387096776
FE452984XPvAibaEXe+y4Ivhjp8SxoyJnURmrAF2,7.358644067796611
8AD5E783XPvAibaEXe/W2+nRn/fcLselkxXeynpx,6.786249999999998
5A14304EXPvAibaEXe9qltw0mIqvIaWmCLbEVDhO,8.380291970802919
1FA754E9XPvAibaEXe8qwxsYP7Gy4T+GMTAh8lN1,8.348905109489053
D2F3528AXPvAibaEXe+B4ljoCmCsuhk3Dzu5k6wH,8.86896551724138
D5AAFB75XPvAibaEXe/c1PHSsZoD+8oafFIykYa0,6.0456852791878175
99D6C831XPvAibaEXe9GBI3gKapSpMKq9MOpZWEr,8.137195121951219
370E19CAXPvAibaEXe/+BlZNmJebreuw0hAIn4Qa,6.944444444444445
E9DF141DXPvAibaEXe9lVL3Ce6e6Ehzc5FBart3x,6.793103448275862
A73B0F5CXPvAibaEXe+QXV6QJP/7hOL7GTCcmmth,7.085869565217393
80E217B0XPvAibaEXe/31hnRTOucctqv+3mlSWEP,7.696103896103898
5F6E05E1XPvAibaEXe/7Pz5IR87IcqRO9z/SjKF/,7.6301886792452835
DD5EDF82XPvAibaEXe/TkCpSS/6Lh4FWNarWTbhQ,8.107954545454545
4D5A3E27XPvAibaEXe/We/j/OFWkazMmWPF3gZCW,7.514130434782611
379C0BF8XPvAibaEXe/pj/zSBjVU9OPAQV660lHU,8.961206896551724
C7A4A791XPvAibaEXe/A9ztpERERkGGLSnPmWxXS,7.913114754098362
74D3E5A7XPvAibaEXe+okMSMP+f8ChmD4TWtSIPN,8.343564356435644
AE3A968CXPvAibaEXe+TeG6SYeFDjKERskcOPNlO,8.264754098360656
91646B52XPvAibaEXe9yhN7aMrvwKu1OjqEI4uSG,6.342051282051283
B079130BXPvAibaEXe/bvCRuhzcnBbzpVwA4yAQC,8.856603773584908
7F545E8AXPvAibaEXe9pXJcjrAt8XvrJ5qyJ0OB7,8.740495867768596
0718948FXPvAibaEXe9HkCcrMxoMGZDQ7OJk9EOZ,8.815000000000001
138DA4D7XPvAibaEXe+Z64Gg7q108I+yt369irfk,7.859459459459461
8FBC750EXPvAibaEXe/+BlZNmJebrUmSi1VjCVpj,7.1397515527950315
EE5A89D1XPvAibaEXe+KhkBwgOBVc6TrEeKRBbsa,5.842583732057417
03266385XPvAibaEXe/lSUoyv6mJfDFTmyu2MlmG,8.406666666666666
2051316CXPvAibaEXe8y6/RMXZRwBSpb0VHJadCX,6.50263157894737
8ADFAC53XPvAibaEXe/7Pz5IR87IctlGF0Pjkidx,4.475708502024291
8A337B67XPvAibaEXe/1fa8C2nSlWVCsLoncEH4p,6.631428571428572
0F9714A7XPvAibaEXe+9WEsYznMOlaADdS0y96gg,2.5277777777777777
F72C13E6XPvAibaEXe/+BlZNmJebrfe95moUQjlt,6.098930481283422
DA61EEF7XPvAibaEXe97NkpghV4JnvoivF8+jM+3,8.608235294117648
3CF5AEC9XPvAibaEXe/xF5/pNSDnSFNSB9Kj517A,7.068944099378881
33472657XPvAibaEXe8ge2UHv4J4BwEOqNnp7N/7,5.588235294117647
C6635E9FXPvAibaEXe+LbmSTUWVMuKhnFpkfefqp,8.835882352941177
DE6E47C3XPvAibaEXe+CejwL/H7GKFU3jzqSaiA4,7.077500000000001
005D6433XPvAibaEXe9JJ0DEqozv6JkD0BJUpbna,7.913953488372093
08D8F2C1XPvAibaEXe/rdVrNjJfu5skJX1oEmPz6,5.852083333333333
9BE68FFAXPvAibaEXe9OEzZOWq/0AUu5ItBCG4Qi,9.10952380952381
4BD9784FXPvAibaEXe/rdVrNjJfu5lPWa4e/bTpR,6.507692307692308
4F4151DBXPvAibaEXe9S9CArGKR2KzLsq+XWpUQY,8.772826086956524
CE42CB1BXPvAibaEXe9Sa66ettUKlHu/+xu5DeIK,6.975
92CB29A3XPvAibaEXe+R1vbMbxqswNColYE6uICP,6.937426900584796
00D57B2CXPvAibaEXe9fG+Eba8DRT+L5HFKCs8+7,7.9833333333333325
20EA5161XPvAibaEXe+tKwu+Ol4th4lHuNksf8Ew,8.295294117647058
5A9F64D1XPvAibaEXe87qJpUsO6V7TZk2T/CAsg6,8.20892857142857
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,8.382467532467533
DF72B2EAXPvAibaEXe8rd+8XOCXsDQUDFkfW0jsp,8.113333333333333
16B9D983XPvAibaEXe/xF5/pNSDnSBVqf/DCK0te,8.861702127659575
9C3C7B0EXPvAibaEXe9GBI3gKapSpHGibWpapaxs,6.2109375
5764C360XPvAibaEXe8IVQevnJpgRgSBOWJISOsW,8.710989010989012
67CC3807XPvAibaEXe/ve/U6YLNUGmR5R0KrJ3Q4,8.236241610738256
8A17440CXPvAibaEXe/p8168d80TYUgRyqOm/osl,7.1642857142857155
D86A31D4XPvAibaEXe9P8bN3LcyQlvA8v4Qe+pdD,9.037254901960786
6800D0F1XPvAibaEXe+b6DqXDWl+uzldcvCdgZRb,8.453076923076924
548333C6XPvAibaEXe+EAlU+wSWpDUDAmH7aFO2R,8.8869918699187
BEF1DAABXPvAibaEXe90TjJq9LqiZtLPBTY/sKxr,7.902112676056338
E845256DXPvAibaEXe9If6gyA/58XI6qIfllMgZ7,8.301010101010103
18478DC5XPvAibaEXe++0XXA1E4QCzwsDKVmVuWr,6.994047619047619
972EB50BXPvAibaEXe/F1TwL9yTfnStJCZy+4baK,7.962091503267973
104CABC6XPvAibaEXe/4dGCOm2CBGkKhLG01+Nlj,8.298412698412697
525F8548XPvAibaEXe9I+mwDmGnD1BT8762n2Z6Y,6.935416666666666
5E056160XPvAibaEXe/UmsX+Yo/cn1gucZU4xRvW,2.711794871794872
FB502B17XPvAibaEXe8niAS0yeiuzWtooOcpMfJN,6.214285714285714
AFF6324CXPvAibaEXe+jBiD6VkzWzIwkJ2LeDWv4,8.543333333333333
0A2BAED8XPvAibaEXe9agUz/x4Y2HrxHyX4wDH4m,8.379166666666668
2711D4E1XPvAibaEXe95BgJyC1XgNWyNcIVivwe6,8.683333333333334
9007320AXPvAibaEXe8x9oGqJppz33SnlsPJyIT7,8.153658536585365
534F880CXPvAibaEXe/caEx4rNa5qYi8oannUiVw,8.166220735785952
7FA9D3DCXPvAibaEXe8iDpfibljbVIhxCsrkT4Yf,7.4010752688172055
031A135FXPvAibaEXe+bzhoLNxTK0xOsiDh253Ur,7.541666666666667
A44AE233XPvAibaEXe+Kq/D5TJTXc6Gfmr0aL+kA,7.463461538461539
F365B466XPvAibaEXe85pnNqK7QfqvQEolh2EM0r,7.4148148148148145
245049E6XPvAibaEXe/Z0GRmsh/zjvZAdcBP8fGQ,8.733684210526317
C03D44DAXPvAibaEXe+tD6vl/s398NILliwXIqmc,7.251785714285714
CAE2DC35XPvAibaEXe8t+72KjYwWtQh4fG5ep5/N,7.225903614457831
09931C7FXPvAibaEXe/dYcwBMKwcl7sX3yx1mZX7,8.270689655172413
A3484A67XPvAibaEXe9/3rpdfvRggg/QeQ9nKRqa,7.623484848484849
EE692E28XPvAibaEXe8vzv/aZ4Qa6WFc9cyLDKyR,8.480208333333334
6EE9DA85XPvAibaEXe9B2tolTZ0JLuwtQX46iDRJ,7.35
BBF31F6FXPvAibaEXe+yfG9g1htAWk6jDF8Og85Y,7.898148148148147
C53A9754XPvAibaEXe9AY13hBxopPcPp0J5gyQg8,5.032727272727273
ED163077XPvAibaEXe/QLz2rC0qlTMMxM1+Jetnm,8.331967213114755
BE51E3D3XPvAibaEXe/c9IhyYNxqHK7ZDJT7e1wR,8.041666666666666
CEE601E1XPvAibaEXe8EBCmK0Wi5172NMt3wOK9t,7.243975903614458
6D5EA000XPvAibaEXe/KXCgZJAA5rtYz38ce/nUd,6.848876404494383
524AE043XPvAibaEXe/1fa8C2nSlWXPfh9/bfC0e,7.5060975609756095
8512B9C9XPvAibaEXe9kjFBbKBtNOm/ImAlQjRCv,5.800507614213198
B7CA17D0XPvAibaEXe/+BlZNmJebreSyS+XqK7HX,6.9511494252873565
E9A18589XPvAibaEXe+Bn/Kbq8h84OcmHXv/YLAD,8.421969696969699
8C7F2C00XPvAibaEXe++6wbq0vq2fckhL6bLq9SI,6.9750000000000005
21E8E7DFXPvAibaEXe/Jc8h2JxO5QZmf6Y0zWw7B,7.833593750000001
61C743B0XPvAibaEXe9Hg4P9GaiGIGO9mlDuZ8yW,6.7622857142857145
A505D017XPvAibaEXe/GIu0V6tRrk8Hj+MWEbX3W,8.35217391304348
09A437F1XPvAibaEXe+6rwvJJbhb/IsmMJWwU67k,6.673595505617978
D3D83E0DXPvAibaEXe9IpNurqmndXGcAesFbHoRl,8.387500000000001
4D4E1AA6XPvAibaEXe8Zj2AQQ+YjPGsxWvOj6EYV,8.306451612903228
