id,mssv,total,mamh,khoahoc,namhoc,hedt,english_evaluted
1679.0,B6126502XPvAibaEXe+A3TjfwxprotWa32HEOZiB,75.0,ENG02,12.0,2017.0, CLC,5.25
1680.0,7F926D52XPvAibaEXe+A3Tjfwxprojp89WZoXXiu,65.0,ENG01,12.0,2017.0, CLC,3.5
1681.0,F64E5752XPvAibaEXe+A3Tjfwxpros2BoCpvvfsI,90.0,ENG02,12.0,2017.0, CQUI,5.25
1682.0,C4CDF08DXPvAibaEXe+A3Tjfwxprolaug7IFmXDk,53.0,ENG01,12.0,2017.0, CLC,3.5
1683.0,E904F32CXPvAibaEXe9exxmVkEmOje8D/Bj+kGiF,67.0,ENG01,12.0,2017.0, CLC,3.5
1684.0,B5BEF93FXPvAibaEXe9exxmVkEmOjQJ2B0xplyqv,62.0,ENG01,12.0,2017.0, CLC,3.5
1685.0,F55A322AXPvAibaEXe9exxmVkEmOjRUzednipos/,77.0,ENG02,12.0,2017.0, CQUI,5.25
1686.0,4CDF7D4AXPvAibaEXe9exxmVkEmOjdba0nx5vC13,41.0,ENG01,12.0,2017.0, CLC,3.5
1687.0,7ADE97C3XPvAibaEXe9exxmVkEmOjevTn+ICxE2z,43.0,ENG01,12.0,2017.0, CQUI,3.5
1688.0,C75EC022XPvAibaEXe9exxmVkEmOjZd1CW/0SRA0,46.0,ENG01,12.0,2017.0, CQUI,3.5
1689.0,2472A653XPvAibaEXe9exxmVkEmOjbd5Wbw2yQnx,52.0,ENG01,12.0,2017.0, CLC,3.5
1690.0,CA6C7872XPvAibaEXe/baq/wvVlH/rxDMQPyZz1D,68.0,ENG01,12.0,2017.0, CQUI,3.5
1691.0,ED0136C2XPvAibaEXe/baq/wvVlH/nzl+Ie9Y14x,47.0,ENG01,12.0,2017.0, CTTT,3.5
1692.0,0085722BXPvAibaEXe/baq/wvVlH/v1E0JmnRemC,38.0,AVSC,12.0,2017.0, CQUI,1.75
1693.0,766739DBXPvAibaEXe/baq/wvVlH/pJZf3DjwJdX,86.0,ENG02,12.0,2017.0, CQUI,5.25
1694.0,07608346XPvAibaEXe/baq/wvVlH/ioEKQZTR4v2,46.0,ENG01,12.0,2017.0, CQUI,3.5
1695.0,6FFC54CDXPvAibaEXe/baq/wvVlH/ox7DZMQruhM,41.0,ENG01,12.0,2017.0, CQUI,3.5
1696.0,3D11D120XPvAibaEXe/baq/wvVlH/kAQCmuXtPcp,41.0,ENG01,12.0,2017.0, CQUI,3.5
1697.0,F4550AC6XPvAibaEXe/baq/wvVlH/toWePwNhgvv,56.0,ENG01,12.0,2017.0, CQUI,3.5
1698.0,2D5C8179XPvAibaEXe/baq/wvVlH/i84B++U9lgu,40.0,ENG01,12.0,2017.0, CQUI,3.5
1699.0,8A0EFD72XPvAibaEXe+L4+qEMJ/L9aRGWg6Uyf2X,94.0,ENG02,12.0,2017.0, CLC,5.25
1700.0,A999581FXPvAibaEXe+L4+qEMJ/L9fYDNbEWZgOG,75.0,ENG02,12.0,2017.0, CQUI,5.25
1701.0,F06D81B0XPvAibaEXe+L4+qEMJ/L9UjIb2oK9DXa,30.0,AVSC,12.0,2017.0, CLC,1.75
1702.0,0C55F744XPvAibaEXe+L4+qEMJ/L9Xg/KtY2uB7M,74.0,ENG02,12.0,2017.0, CQUI,5.25
1703.0,95A27658XPvAibaEXe+L4+qEMJ/L9QOnFJ/kPse7,47.0,ENG01,12.0,2017.0, CLC,3.5
1704.0,9A7A149CXPvAibaEXe+L4+qEMJ/L9adRT1mEdjEq,41.0,ENG01,12.0,2017.0, CQUI,3.5
