mssv,sotc
025639C4XPvAibaEXe9h45naFhFKYhEBg5cfNLVj,88.0
0266A632XPvAibaEXe8fDZWQ6Sz6wmY53Xv+7QbI,13.0
0268144BXPvAibaEXe/1bsgFpjh4Axad4rWmHEhg,3.0
0269665FXPvAibaEXe+kufBIlPDTdTr7u196rxex,52.0
0269D0CEXPvAibaEXe9Z67almz7y5nIpJrijnwIg,122.0
026C80C5XPvAibaEXe8kGcWiFCcO6X+kqE6zW6qM,12.0
02742628XPvAibaEXe+R1vbMbxqswIQR7pz52Lxo,68.0
02784045XPvAibaEXe+72vl6t/d8GVXw6d/9TNFr,29.0
029F830DXPvAibaEXe/2X6aOdUt4J51IQ9VxbP3E,7.0
029FF400XPvAibaEXe/CDMtnBauOUI3KOirhtT3a,3.0
02A64D77XPvAibaEXe+LLN9FKbXQHXhuevnAwP5/,27.0
02B1B771XPvAibaEXe/MFNByxh05bwp2psmEm6tl,2.0
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,17.0
02BF7901XPvAibaEXe81w9eVvyp+l/OBpi+Ps6nu,58.0
02C4644FXPvAibaEXe+wmtNhlfgIwhu0VSXU3tYN,4.0
02D8F879XPvAibaEXe+OQt2grxVQNx94/N9FKXBn,4.0
02D9A220XPvAibaEXe+KnWgScvZ27LP2iqB5e3NW,36.0
02DAE881XPvAibaEXe9towEleTnx8SL/9Q5eOFLC,8.0
02DDAFDAXPvAibaEXe/T8UkF60S6Tw1O/p/LMJes,108.0
02E8D941XPvAibaEXe/d/S/pWxgpN56GFueraI0v,19.0
02F183F0XPvAibaEXe/kJUgsv26Ua01LZ73bPyUY,15.0
02FA9B28XPvAibaEXe9hPQQhQOOPyX9iSjJX1yiu,93.0
030FC1CFXPvAibaEXe+9lRniSKKSh3iBkTOiNqQs,13.0
0312B5D4XPvAibaEXe+PW4qz/iocSxw0Qm1T8amS,127.0
0318F06CXPvAibaEXe+bs0QruU9p+gh3raidhDZk,72.0
032009DBXPvAibaEXe8hLNatuVCg+bidSLDlKFer,68.0
0336A8FDXPvAibaEXe97q47CdxnNZKAUu5+2jDyf,72.0
0339FEA3XPvAibaEXe/67dyjFFUOJsO0SSal/unw,22.0
033C5F00XPvAibaEXe/k1FtQjAVbeqWlCvlUgwhY,14.0
033C60A9XPvAibaEXe9hgu3XzGis6l5Q/QWQ6W4u,51.0
034628B2XPvAibaEXe+1q4RcodP1hCvlWReLjjvi,104.0
0349C6B8XPvAibaEXe80b1fr0fH/JkdDh3dWSII8,14.0
034B4FD8XPvAibaEXe85dXQU86uLqjYaJrhqTPFA,2.0
035AEF81XPvAibaEXe/y2t7DVG8TDXVGQmvbKE12,15.0
0375F69FXPvAibaEXe9JdUmjPcaT8kzHYZ2eSjwX,4.0
037AF85BXPvAibaEXe+cQfs8oDok9/c/FI5YLNUF,4.0
0388C53EXPvAibaEXe9F2tx/ToPx3FKeDTdDjuhB,12.0
038BC03DXPvAibaEXe+mAnSOIXlLypHDm7KhTV/y,14.0
03978FABXPvAibaEXe8TwY0YV57PPw2lKLNjJWhO,21.0
0397E523XPvAibaEXe+q0E3QguGBpXo0jV2oyFig,19.0
0398BD47XPvAibaEXe+1qnC7LACO/Xq5fbBTAgzN,16.0
0399C9A9XPvAibaEXe/HJUIcbGqQ3gLcdXmSxbGD,11.0
039A0530XPvAibaEXe9qFVjW5nX81liy3aqQACmT,16.0
039A40EBXPvAibaEXe/sW+jVmHnQGlexsxcKegMx,7.0
03A27B34XPvAibaEXe+XuNgf2Sify1FkYwDf2m0F,7.0
03A3D9C8XPvAibaEXe9BBpfz7z4Pk9KBReewvJdc,23.0
03B1BF87XPvAibaEXe83EtiN4MI2ns5qclkPljKC,0.0
03B3F65FXPvAibaEXe+QJ0MB5TsYNe5nyw6HufAr,15.0
03C79B24XPvAibaEXe+PAOVcd+LnOZDHTOc4IJv0,6.0
03CB7299XPvAibaEXe8+aAi1Gdg/oeiDyX3N6SMV,15.0
03CB8DC4XPvAibaEXe+4XPPXlKRz0LWy5kJsvBRv,18.0
03CD7CB3XPvAibaEXe/s5yot2gW0OidjjAWFnAcR,21.0
03E9147DXPvAibaEXe+NnQrnI1K9JMnAja73zCHH,4.0
03ECE99EXPvAibaEXe8NoNh54Mn6M+2xXKb+BCMr,2.0
03F181B0XPvAibaEXe+7uLWSh9XvQs9BhtrBVBeU,3.0
03FD4379XPvAibaEXe+x2tIgaKoPl84jedyxSAOo,9.0
0402B932XPvAibaEXe9xHju59ydahTjwi8JiBa4z,12.0
040378ABXPvAibaEXe/rc1q60ZPWU6CuahkMQ4eZ,29.0
0406981FXPvAibaEXe+M8JaUhbJyecydVJn03CsO,8.0
040FD8DEXPvAibaEXe/kICEDbR0UVwuxkPi4/pHP,66.0
0417503EXPvAibaEXe8H3WiBIMjs75bydCZ/34xl,3.0
0419426CXPvAibaEXe/EvmuerN6w1BIIPdWHHov2,11.0
041EA3F9XPvAibaEXe9MljmzNQ4Dkbl/KQvEFEdw,32.0
04234787XPvAibaEXe+4ETeamtJzhG84K01qWXLW,8.0
042F0E58XPvAibaEXe8p9EUNm1rzjknB/SCShuuv,8.0
043B0CDAXPvAibaEXe8d5+4VMyfVsO7O83z9K9IN,2.0
043ECE64XPvAibaEXe8p7+QBLh7hjqIhsiZHycCn,22.0
0468F73BXPvAibaEXe9T3PnrA+Qsrje9JjPAi+0t,23.0
046B7D66XPvAibaEXe8ygSRUk01nIEw5SRlIN9az,13.0
046DFC1EXPvAibaEXe8d5+4VMyfVsJ8BKuqNRrBF,4.0
04703EC6XPvAibaEXe+pyJpvsB6nZNTWzQVDye30,14.0
047911D8XPvAibaEXe+fPSOag5leTYMAZx0GJa1L,31.0
047B5CA3XPvAibaEXe8c53vaOKMxC239GQMYdXlR,3.0
047F2D29XPvAibaEXe+980ee17Pr/43PRdnVgtw+,36.0
048C2045XPvAibaEXe+K/omYw1flXbXWqqKF1KWq,43.0
048D7432XPvAibaEXe/JRR+qhRXMm+5z8ZDG9qI1,3.0
048D8334XPvAibaEXe940vcGUhedsJltEkEb7wZ+,4.0
04937B4DXPvAibaEXe+KnWgScvZ27EaSNJL9HdvK,27.0
