mssv,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
00CFFDDFXPvAibaEXe9PaZSVcf3BgqtWEBh0HDBi,5.49,4.3,-1.0,2.29,6.45,-1.0,3.62,5.27,-1.0,3.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,0.0,75.0,0.0,81.0,0.0,82.0,76.0,69.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw,6.66,5.95,-1.0,6.91,7.29,-1.0,7.9,7.68,-1.0,8.07,8.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.0,0.0,75.0,0.0,76.0,0.0,75.0,0.0,79.0,0.0,74.0,0.0,76.0,0.0,76.0,-1.0
00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,4.82,3.89,-1.0,5.57,4.98,3.6,5.83,5.91,6.1,7.08,6.91,6.6,7.26,3.6,-1.0,6.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.0,0.0,69.0,0.0,43.0,0.0,35.0,0.0,67.0,0.0,78.0,0.0,80.0,0.0,85.0,0.0
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,5.89,6.06,7.6,6.48,6.54,-1.0,6.05,7.64,-1.0,8.28,9.09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,80.0,0.0,76.0,0.0,80.0,0.0,70.0,0.0,84.0,0.0,86.0,0.0,100.0,86.0
011201F7XPvAibaEXe+OhmjSj4XEzZe7iRZlaaxm,6.86,6.01,-1.0,6.84,7.71,-1.0,5.54,7.55,-1.0,8.58,6.53,-1.0,6.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.0,0.0,90.0,0.0,90.0,0.0,85.0,0.0,81.0,0.0,85.0,0.0,95.0,0.0,100.0,0.0
0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH,5.73,4.24,-1.0,7.14,6.48,-1.0,7.3,6.8,-1.0,6.54,6.86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.0,0.0,78.0,78.0,93.0,93.0,63.0,63.0,81.0,0.0,64.0,0.0,75.0,0.0,66.0,0.0
011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC,7.32,7.79,-1.0,6.59,5.07,-1.0,8.44,6.94,-1.0,7.63,5.74,-1.0,7.11,8.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,75.0,0.0,68.0,0.0,67.0,0.0,77.0,0.0,72.0,0.0,79.0,0.0,70.0,79.0
01254D12XPvAibaEXe8yzZ/8QUtgdgO7k755LUHF,6.23,6.18,-1.0,5.04,6.4,7.86,5.94,4.89,-1.0,6.33,7.29,-1.0,6.53,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,100.0,97.0,97.0,81.0,0.0,86.0,0.0,62.0,0.0,68.0,0.0,80.0,0.0,75.0,0.0
012B2267XPvAibaEXe92T150Nt0xZhRfmxS1FqFL,5.76,5.75,-1.0,3.87,6.33,-1.0,7.58,8.1,-1.0,8.26,6.68,-1.0,6.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,77.0,0.0,67.0,0.0,58.0,0.0,69.0,0.0,88.0,0.0,91.0,100.0,90.0,64.0,-1.0,-1.0
01339FADXPvAibaEXe/a3PM8AP2Ng0uXDZOGMC2W,8.74,7.67,-1.0,6.99,6.19,-1.0,5.64,6.5,-1.0,4.84,7.55,-1.0,6.35,-1.0,-1.0,7.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.0,70.0,83.0,0.0,75.0,0.0,66.0,0.0,55.0,0.0,57.0,0.0,61.0,0.0,42.0,0.0
013DFC27XPvAibaEXe9KWpGOh3zHlxPSiJ5QTA8b,5.85,0.0,1.33,4.33,1.96,4.93,3.01,1.55,-1.0,1.59,0.14,-1.0,4.11,1.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.0,0.0,49.0,0.0,57.0,0.0,55.0,0.0,59.0,0.0,68.0,0.0,60.0,0.0,55.0,0.0
014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk,7.95,8.3,-1.0,8.05,8.34,-1.0,8.25,8.32,-1.0,8.26,9.08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,80.0,0.0,85.0,0.0,95.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,91.0
0152D73FXPvAibaEXe8dBqMaN7rGhiSNefyOeUyN,7.87,5.67,-1.0,8.03,7.15,-1.0,6.78,7.23,-1.0,9.1,8.63,-1.0,8.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.0,0.0,75.0,0.0,86.0,0.0,90.0,0.0,86.0,0.0,85.0,0.0,100.0,0.0,100.0,0.0
0155D7F9XPvAibaEXe+RaLErOlzghWNFVX9jT8kn,8.06,7.55,-1.0,8.66,8.29,-1.0,8.34,8.42,-1.0,8.74,8.69,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95.0,0.0,88.0,0.0,83.0,0.0,80.0,0.0,100.0,0.0,100.0,0.0,81.0,0.0,85.0,0.0
0188BAD2XPvAibaEXe/AdnwkoyhfDtYg0Faie5sR,7.34,7.09,-1.0,6.43,6.85,-1.0,6.11,6.97,-1.0,6.8,3.9,-1.0,5.64,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,80.0,0.0,81.0,0.0,75.0,0.0,81.0,0.0,82.0,0.0,72.0,0.0,71.0,85.0
018B537BXPvAibaEXe+JOtnwEvC97qLE0CEjcJMZ,8.59,7.72,-1.0,7.16,8.07,7.3,8.98,8.46,-1.0,8.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
01B2E0C0XPvAibaEXe+LbmSTUWVMuCiA7Fe9lwmP,7.19,7.28,-1.0,8.17,7.53,-1.0,7.72,7.2,-1.0,7.21,8.8,-1.0,8.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60.0,0.0,80.0,0.0,85.0,0.0,90.0,0.0,90.0,0.0,80.0,0.0,88.0,0.0,91.0,0.0
01C3E360XPvAibaEXe8aLAPPdCF+aQPfV91kc+Cb,5.33,2.31,-1.0,2.17,2.96,1.71,5.32,2.7,-1.0,3.82,5.08,-1.0,6.97,7.03,4.2,5.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.0,0.0,62.0,0.0,55.0,0.0,66.0,0.0,67.0,0.0,75.0,0.0,59.0,0.0,81.0,82.0
023D2F97XPvAibaEXe/V92w6Vxv2r1UinrIdobJ6,5.34,7.75,-1.0,7.3,7.02,-1.0,7.0,7.58,-1.0,7.2,8.92,-1.0,8.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,75.0,0.0,76.0,0.0,75.0,0.0,83.0,0.0,79.0,0.0,66.0,0.0,73.0,76.0
024F7582XPvAibaEXe/QPFjJxKB5fpc+JU5L2yoh,8.15,7.6,-1.0,7.81,8.23,-1.0,8.39,8.02,-1.0,8.02,7.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,0.0,90.0,0.0,85.0,0.0,85.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.0,76.0
025639C4XPvAibaEXe9h45naFhFKYhEBg5cfNLVj,5.95,5.42,4.0,4.67,4.85,4.43,5.53,5.12,-1.0,5.12,5.02,-1.0,4.81,4.64,2.3,3.34,1.73,-1.0,0.0,-1.0,-1.0,-1.0,72.0,0.0,71.0,71.0,72.0,72.0,53.0,53.0,67.0,0.0,44.0,0.0,60.0,0.0,64.0,0.0
0266A632XPvAibaEXe8fDZWQ6Sz6wmY53Xv+7QbI,6.2,5.6,-1.0,5.56,6.93,-1.0,6.66,5.97,-1.0,3.41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,0.0,85.0,0.0,88.0,0.0,96.0,77.0,82.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0269D0CEXPvAibaEXe9Z67almz7y5nIpJrijnwIg,3.75,3.91,5.86,4.85,5.8,-1.0,3.64,1.0,5.0,3.65,0.28,5.0,2.87,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.0,0.0,71.0,71.0,67.0,67.0,66.0,0.0,51.0,0.0,51.0,0.0,37.0,0.0,55.0,0.0
026C80C5XPvAibaEXe8kGcWiFCcO6X+kqE6zW6qM,6.03,5.82,-1.0,6.54,5.65,-1.0,1.42,5.7,-1.0,0.75,-1.0,-1.0,4.24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.0,0.0,85.0,0.0,80.0,0.0,79.0,0.0,66.0,0.0,80.0,0.0,45.0,0.0,71.0,66.0
02784045XPvAibaEXe+72vl6t/d8GVXw6d/9TNFr,6.13,5.76,6.4,5.4,5.6,7.3,5.2,5.8,-1.0,5.6,6.86,-1.0,7.11,5.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.0,0.0,90.0,0.0,81.0,0.0,80.0,0.0,80.0,0.0,94.0,0.0,79.0,0.0,82.0,74.0
0294BF8FXPvAibaEXe9ggqkCdMDyeA7ept6yymJB,6.85,8.28,-1.0,7.74,7.62,-1.0,7.46,8.07,-1.0,7.91,7.91,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,0.0,90.0,0.0,90.0,0.0,90.0,0.0,98.0,0.0,100.0,0.0,100.0,0.0,74.0,66.0
029FF400XPvAibaEXe/CDMtnBauOUI3KOirhtT3a,5.55,7.58,7.2,7.04,7.45,0.0,6.83,7.78,-1.0,8.49,7.37,-1.0,8.23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99.0,0.0,90.0,0.0,91.0,0.0,79.0,0.0,82.0,0.0,84.0,91.0,100.0,73.0,-1.0,-1.0
02B1B771XPvAibaEXe/MFNByxh05bwp2psmEm6tl,7.01,6.68,-1.0,7.24,6.83,-1.0,6.04,7.1,-1.0,7.53,8.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95.0,0.0,100.0,0.0,90.0,0.0,75.0,0.0,81.0,0.0,90.0,0.0,83.0,0.0,96.0,-1.0
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,5.79,6.07,5.8,6.05,6.52,-1.0,5.86,5.54,-1.0,1.33,5.92,-1.0,-1.0,0.51,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.0,0.0,64.0,0.0,81.0,0.0,75.0,0.0,79.0,0.0,74.0,0.0,58.0,0.0,67.0,0.0
02BF7901XPvAibaEXe81w9eVvyp+l/OBpi+Ps6nu,7.62,5.1,-1.0,6.81,6.51,-1.0,6.82,4.39,-1.0,2.91,0.57,-1.0,5.12,1.15,-1.0,6.06,7.75,-1.0,-1.0,0.0,-1.0,-1.0,85.0,0.0,65.0,0.0,64.0,0.0,70.0,0.0,80.0,0.0,70.0,0.0,75.0,0.0,70.0,0.0
02C4644FXPvAibaEXe+wmtNhlfgIwhu0VSXU3tYN,6.43,6.36,-1.0,7.45,8.13,-1.0,7.63,8.68,-1.0,8.55,8.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,86.0,0.0,87.0,87.0,96.0,96.0,100.0,100.0,81.0,0.0,79.0,0.0,100.0,0.0,85.0,0.0
02F183F0XPvAibaEXe/kJUgsv26Ua01LZ73bPyUY,6.79,3.68,-1.0,7.48,6.89,6.76,6.93,6.45,-1.0,7.93,6.64,-1.0,7.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,90.0,66.0,0.0,94.0,0.0,67.0,0.0,62.0,0.0,65.0,0.0,80.0,0.0,80.0,0.0
02FA9B28XPvAibaEXe9hPQQhQOOPyX9iSjJX1yiu,2.84,0.78,-1.0,4.75,0.21,-1.0,3.19,5.98,4.0,4.3,1.75,2.65,4.81,0.86,-1.0,0.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.0,0.0,48.0,48.0,54.0,54.0,-24.0,0.0,24.0,0.0,10.0,0.0,30.0,0.0,15.0,0.0
030FC1CFXPvAibaEXe+9lRniSKKSh3iBkTOiNqQs,6.84,5.87,-1.0,4.71,5.65,7.56,6.75,6.82,-1.0,6.87,6.98,9.4,7.09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,86.0,86.0,68.0,68.0,31.0,0.0,64.0,0.0,62.0,0.0,57.0,0.0,76.0,0.0,75.0,0.0
032009DBXPvAibaEXe8hLNatuVCg+bidSLDlKFer,8.0,5.66,-1.0,5.96,3.64,-1.0,4.3,3.31,-1.0,6.18,3.28,5.6,6.56,5.55,-1.0,4.75,6.47,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,80.0,55.0,0.0,69.0,0.0,58.0,0.0,55.0,0.0,55.0,0.0,76.0,0.0,70.0,0.0
0336A8FDXPvAibaEXe97q47CdxnNZKAUu5+2jDyf,5.69,5.93,-1.0,5.78,1.62,6.5,6.31,3.69,-1.0,4.27,3.91,-1.0,6.53,3.95,-1.0,3.97,6.47,-1.0,5.3,5.2,-1.0,-1.0,85.0,85.0,83.0,0.0,81.0,0.0,60.0,0.0,76.0,0.0,65.0,0.0,85.0,0.0,83.0,0.0
0339FEA3XPvAibaEXe/67dyjFFUOJsO0SSal/unw,4.78,5.68,-1.0,6.12,5.62,8.2,6.77,6.92,-1.0,6.31,7.42,-1.0,7.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85.0,0.0,100.0,0.0,90.0,0.0,79.0,0.0,91.0,0.0,87.0,0.0,77.0,0.0,74.0,74.0
0349C6B8XPvAibaEXe80b1fr0fH/JkdDh3dWSII8,5.52,4.49,7.0,7.5,6.42,-1.0,7.69,7.52,-1.0,7.7,4.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,86.0,0.0,52.0,0.0,67.0,0.0,63.0,0.0,80.0,0.0,80.0,0.0,76.0,0.0,70.0,0.0
035AEF81XPvAibaEXe/y2t7DVG8TDXVGQmvbKE12,7.15,5.43,-1.0,6.56,6.09,-1.0,6.04,6.61,-1.0,7.58,8.76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,80.0,65.0,0.0,82.0,0.0,75.0,0.0,58.0,0.0,66.0,0.0,80.0,0.0,75.0,0.0
0375F69FXPvAibaEXe9JdUmjPcaT8kzHYZ2eSjwX,7.42,7.74,-1.0,7.97,7.38,-1.0,7.46,8.53,6.7,8.94,8.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,84.0,0.0,87.0,87.0,66.0,66.0,82.0,82.0,89.0,0.0,76.0,0.0,68.0,0.0,76.0,0.0
0388C53EXPvAibaEXe9F2tx/ToPx3FKeDTdDjuhB,7.09,6.73,-1.0,6.4,4.34,8.5,6.78,6.94,6.1,7.84,8.44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.0,0.0,81.0,0.0,85.0,0.0,75.0,0.0,76.0,0.0,80.0,0.0,98.0,0.0,81.0,0.0
0394FD62XPvAibaEXe9D0puFBsAtkmu/3f4p7oUp,8.48,8.87,-1.0,8.08,8.88,-1.0,8.3,8.49,-1.0,8.39,9.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,85.0,0.0,96.0,0.0,95.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,-1.0
0397E523XPvAibaEXe+q0E3QguGBpXo0jV2oyFig,7.04,5.39,-1.0,4.51,6.72,-1.0,6.52,5.75,-1.0,7.94,3.0,-1.0,3.31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85.0,0.0,83.0,0.0,95.0,0.0,80.0,0.0,91.0,0.0,80.0,89.0,56.0,58.0,-1.0,-1.0
0398BD47XPvAibaEXe+1qnC7LACO/Xq5fbBTAgzN,7.07,6.52,-1.0,6.54,6.81,-1.0,5.56,4.86,-1.0,5.4,3.86,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0.0,90.0,0.0,91.0,0.0,69.0,0.0,70.0,0.0,71.0,87.0,56.0,58.0,-1.0,-1.0
039A40EBXPvAibaEXe/sW+jVmHnQGlexsxcKegMx,6.15,5.46,-1.0,7.68,6.9,-1.0,6.95,7.04,-1.0,8.15,7.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.0,0.0,83.0,0.0,90.0,0.0,90.0,0.0,81.0,0.0,75.0,0.0,81.0,0.0,94.0,0.0
03B1BF87XPvAibaEXe83EtiN4MI2ns5qclkPljKC,7.27,7.25,-1.0,7.88,7.29,-1.0,7.71,7.81,-1.0,7.98,7.93,-1.0,8.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.0,0.0,78.0,78.0,90.0,90.0,67.0,0.0,86.0,0.0,85.0,0.0,64.0,0.0,68.0,0.0
03B3F65FXPvAibaEXe+QJ0MB5TsYNe5nyw6HufAr,7.12,5.59,-1.0,6.42,6.16,5.4,6.22,6.08,-1.0,4.89,5.79,-1.0,7.9,5.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,75.0,0.0,76.0,0.0,75.0,0.0,72.0,0.0,72.0,0.0,66.0,0.0,80.0,84.0
